<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GBPNZD,20170110,171600,1.7378,1.7384,1.7375,1.7384
GBPNZD,20170110,171700,1.7385,1.7391,1.7385,1.7390
GBPNZD,20170110,171800,1.7389,1.7389,1.7385,1.7385
GBPNZD,20170110,171900,1.7387,1.7394,1.7387,1.7392
GBPNZD,20170110,172000,1.7391,1.7392,1.7390,1.7390
GBPNZD,20170110,172100,1.7391,1.7399,1.7391,1.7399
GBPNZD,20170110,172200,1.7398,1.7398,1.7395,1.7395
GBPNZD,20170110,172300,1.7396,1.7396,1.7390,1.7391
GBPNZD,20170110,172400,1.7389,1.7389,1.7384,1.7389
GBPNZD,20170110,172500,1.7391,1.7393,1.7386,1.7387
GBPNZD,20170110,172600,1.7386,1.7386,1.7384,1.7385
GBPNZD,20170110,172700,1.7387,1.7387,1.7385,1.7387
GBPNZD,20170110,172800,1.7384,1.7386,1.7383,1.7385
GBPNZD,20170110,172900,1.7384,1.7384,1.7379,1.7379
GBPNZD,20170110,173000,1.7381,1.7381,1.7378,1.7379
GBPNZD,20170110,173100,1.7377,1.7377,1.7375,1.7377
GBPNZD,20170110,173200,1.7379,1.7379,1.7376,1.7377
GBPNZD,20170110,173300,1.7376,1.7378,1.7376,1.7378
GBPNZD,20170110,173400,1.7380,1.7382,1.7380,1.7382
GBPNZD,20170110,173500,1.7384,1.7385,1.7382,1.7383
GBPNZD,20170110,173600,1.7382,1.7382,1.7380,1.7382
GBPNZD,20170110,173700,1.7383,1.7385,1.7382,1.7385
GBPNZD,20170110,173800,1.7382,1.7382,1.7380,1.7381
GBPNZD,20170110,173900,1.7380,1.7380,1.7376,1.7376
GBPNZD,20170110,174000,1.7378,1.7378,1.7374,1.7377
GBPNZD,20170110,174100,1.7378,1.7379,1.7376,1.7379
GBPNZD,20170110,174200,1.7380,1.7381,1.7379,1.7381
GBPNZD,20170110,174300,1.7383,1.7383,1.7380,1.7380
GBPNZD,20170110,174400,1.7381,1.7385,1.7381,1.7385
GBPNZD,20170110,174500,1.7384,1.7385,1.7383,1.7383
GBPNZD,20170110,174600,1.7384,1.7384,1.7382,1.7382
GBPNZD,20170110,174700,1.7383,1.7383,1.7382,1.7382
GBPNZD,20170110,174800,1.7380,1.7380,1.7378,1.7378
GBPNZD,20170110,174900,1.7379,1.7380,1.7378,1.7378
GBPNZD,20170110,175000,1.7379,1.7381,1.7379,1.7381
GBPNZD,20170110,175100,1.7382,1.7383,1.7381,1.7382
GBPNZD,20170110,175200,1.7384,1.7388,1.7384,1.7386
GBPNZD,20170110,175300,1.7388,1.7390,1.7387,1.7387
GBPNZD,20170110,175400,1.7388,1.7393,1.7388,1.7392
GBPNZD,20170110,175500,1.7390,1.7391,1.7389,1.7389
GBPNZD,20170110,175600,1.7388,1.7388,1.7387,1.7387
GBPNZD,20170110,175700,1.7386,1.7386,1.7383,1.7383
GBPNZD,20170110,175800,1.7384,1.7384,1.7381,1.7382
GBPNZD,20170110,175900,1.7380,1.7382,1.7379,1.7382
GBPNZD,20170110,180000,1.7383,1.7385,1.7382,1.7385
GBPNZD,20170110,180100,1.7386,1.7387,1.7385,1.7387
GBPNZD,20170110,180200,1.7386,1.7386,1.7381,1.7382
GBPNZD,20170110,180300,1.7383,1.7383,1.7381,1.7383
GBPNZD,20170110,180400,1.7384,1.7387,1.7384,1.7386
GBPNZD,20170110,180500,1.7387,1.7389,1.7387,1.7389
GBPNZD,20170110,180600,1.7388,1.7392,1.7388,1.7391
GBPNZD,20170110,180700,1.7393,1.7394,1.7393,1.7393
GBPNZD,20170110,180800,1.7394,1.7394,1.7392,1.7392
GBPNZD,20170110,180900,1.7395,1.7396,1.7394,1.7396
GBPNZD,20170110,181000,1.7395,1.7397,1.7394,1.7394
GBPNZD,20170110,181100,1.7395,1.7396,1.7394,1.7396
GBPNZD,20170110,181200,1.7397,1.7399,1.7397,1.7399
GBPNZD,20170110,181300,1.7400,1.7401,1.7400,1.7400
GBPNZD,20170110,181400,1.7399,1.7399,1.7397,1.7399
GBPNZD,20170110,181500,1.7398,1.7405,1.7398,1.7403
GBPNZD,20170110,181600,1.7402,1.7402,1.7399,1.7402
GBPNZD,20170110,181700,1.7401,1.7402,1.7400,1.7402
GBPNZD,20170110,181800,1.7403,1.7404,1.7402,1.7403
GBPNZD,20170110,181900,1.7404,1.7404,1.7401,1.7403
GBPNZD,20170110,182000,1.7402,1.7404,1.7402,1.7402
GBPNZD,20170110,182100,1.7401,1.7405,1.7401,1.7405
GBPNZD,20170110,182200,1.7402,1.7404,1.7402,1.7404
GBPNZD,20170110,182300,1.7405,1.7406,1.7404,1.7405
GBPNZD,20170110,182400,1.7404,1.7405,1.7403,1.7403
GBPNZD,20170110,182500,1.7404,1.7404,1.7401,1.7401
GBPNZD,20170110,182600,1.7400,1.7402,1.7398,1.7400
GBPNZD,20170110,182700,1.7401,1.7404,1.7401,1.7403
GBPNZD,20170110,182800,1.7402,1.7402,1.7400,1.7400
GBPNZD,20170110,182900,1.7399,1.7400,1.7399,1.7399
GBPNZD,20170110,183000,1.7400,1.7404,1.7397,1.7404
GBPNZD,20170110,183100,1.7405,1.7406,1.7402,1.7406
GBPNZD,20170110,183200,1.7405,1.7405,1.7401,1.7401
GBPNZD,20170110,183300,1.7399,1.7399,1.7398,1.7398
GBPNZD,20170110,183400,1.7399,1.7403,1.7399,1.7402
GBPNZD,20170110,183500,1.7401,1.7401,1.7395,1.7395
GBPNZD,20170110,183600,1.7396,1.7396,1.7394,1.7395
GBPNZD,20170110,183700,1.7394,1.7397,1.7394,1.7395
GBPNZD,20170110,183800,1.7394,1.7394,1.7393,1.7393
GBPNZD,20170110,183900,1.7392,1.7396,1.7392,1.7396
GBPNZD,20170110,184000,1.7397,1.7398,1.7396,1.7397
GBPNZD,20170110,184100,1.7398,1.7398,1.7395,1.7396
GBPNZD,20170110,184200,1.7397,1.7399,1.7397,1.7398
GBPNZD,20170110,184300,1.7397,1.7400,1.7397,1.7400
GBPNZD,20170110,184400,1.7401,1.7402,1.7400,1.7400
GBPNZD,20170110,184500,1.7401,1.7402,1.7399,1.7399
GBPNZD,20170110,184600,1.7398,1.7399,1.7397,1.7397
GBPNZD,20170110,184700,1.7398,1.7399,1.7397,1.7397
GBPNZD,20170110,184800,1.7398,1.7400,1.7398,1.7399
GBPNZD,20170110,184900,1.7401,1.7401,1.7400,1.7400
GBPNZD,20170110,185000,1.7399,1.7400,1.7399,1.7400
GBPNZD,20170110,185100,1.7401,1.7401,1.7399,1.7400
GBPNZD,20170110,185200,1.7399,1.7404,1.7399,1.7402
GBPNZD,20170110,185300,1.7403,1.7403,1.7400,1.7401
GBPNZD,20170110,185400,1.7403,1.7403,1.7401,1.7401
GBPNZD,20170110,185500,1.7402,1.7402,1.7401,1.7402
GBPNZD,20170110,185600,1.7401,1.7401,1.7398,1.7398
GBPNZD,20170110,185700,1.7399,1.7399,1.7397,1.7397
GBPNZD,20170110,185800,1.7398,1.7400,1.7396,1.7396
GBPNZD,20170110,185900,1.7393,1.7395,1.7393,1.7395
GBPNZD,20170110,190000,1.7396,1.7396,1.7394,1.7395
GBPNZD,20170110,190100,1.7394,1.7398,1.7394,1.7398
GBPNZD,20170110,190200,1.7397,1.7402,1.7397,1.7399
GBPNZD,20170110,190300,1.7397,1.7398,1.7396,1.7397
GBPNZD,20170110,190400,1.7396,1.7396,1.7395,1.7396
GBPNZD,20170110,190500,1.7397,1.7397,1.7395,1.7396
GBPNZD,20170110,190600,1.7397,1.7399,1.7396,1.7399
GBPNZD,20170110,190700,1.7397,1.7401,1.7397,1.7401
GBPNZD,20170110,190800,1.7400,1.7402,1.7400,1.7400
GBPNZD,20170110,190900,1.7401,1.7402,1.7400,1.7400
GBPNZD,20170110,191000,1.7401,1.7403,1.7401,1.7401
GBPNZD,20170110,191100,1.7403,1.7405,1.7403,1.7403
GBPNZD,20170110,191200,1.7404,1.7404,1.7404,1.7404
GBPNZD,20170110,191300,1.7404,1.7405,1.7404,1.7405
GBPNZD,20170110,191400,1.7404,1.7407,1.7404,1.7407
GBPNZD,20170110,191500,1.7406,1.7406,1.7404,1.7404
GBPNZD,20170110,191600,1.7403,1.7403,1.7402,1.7402
